Name,Start X,Start Y,End X,End Y,Length
Line,9406,58034,9316,58034,90
Line,-7520,50474,-7520,48009,2465
Line,-7498,55514,-7520,50474,5040
Line,9316,58034,5956,58034,3360
Line,-4124,58034,-7487,58049,3363
Line,916,58034,-4124,58034,5040
Line,5956,58034,916,58034,5040
Line,-8269,55514,-7498,55514,771
Line,916,58819,916,58034,785
Line,5956,57249,5956,58034,785
Line,5956,58819,5956,58034,785
Line,916,57249,916,58034,785
Line,-8269,60554,-7487,60554,782
Line,-4124,57249,-4124,58034,785
Line,-4124,58819,-4124,58034,785
Line,5956,37089,5956,37874,785
Line,3436,38659,3436,37874,785
Line,916,37089,916,37874,785
Line,10101,37874,9406,37874,695
Line,5956,37874,3436,37874,2520
Line,9316,37874,5956,37874,3360
Line,9406,37874,9316,37874,90
Line,-1604,38659,-1604,37874,785
Line,10922,40004,10101,40004,821
Line,12096,40889,12096,40004,885
Line,10916,40889,10922,40004,885
Line,10922,40004,12096,40004,1174
Line,-4124,37089,-4124,37874,785
Line,9406,37089,9406,37874,785
Line,8531,40914,9316,40914,785
Line,9406,58819,9406,58034,785
Line,33046,29342,33016,29342,30
Line,33016,30089,33016,29342,747
Line,30711,30089,30711,29342,748
Line,33016,29342,30711,29342,2305
Line,33046,25274,24466,25274,8580
Line,35024,25274,33046,25274,1978
Line,30711,29342,29391,29342,1320
Line,29391,30089,29391,29342,748
Line,35024,22629,35024,25274,2645
Line,35024,21254,35024,22629,1375
Line,33971,21254,35024,21254,1053
Line,24466,27619,24466,25274,2345
Line,33046,27619,33046,29342,1723
Line,18381,31964,16036,31964,2345
Line,33046,27619,33046,25274,2345
Line,12646,52024,9316,52024,3330
Line,15141,52024,12646,52024,2495
Line,16036,52024,15141,52024,895
Line,12646,52899,12646,52024,875
Line,9316,53049,9316,58034,4985
Line,9316,52024,9316,42859,9165
Line,9316,53049,9316,52024,1025
Line,16036,50084,16036,52024,1940
Line,18381,50084,16036,50084,2345
Line,16036,25274,16036,31964,6690
Line,24466,25274,16036,25274,8430
Line,17781,37874,17781,39944,2070
Line,16036,45824,16036,50084,4260
Line,16036,45824,16036,39944,5880
Line,16036,31964,16036,39944,7980
Line,3436,37874,916,37874,2520
Line,5956,57249,5956,55749,1500
Line,5956,58819,5956,60319,1500
Line,9406,58819,9406,60319,1500
Line,916,58819,916,60319,1500
Line,-4124,57249,-4124,55749,1500
Line,-4124,58819,-4124,60319,1500
Line,916,57249,916,55749,1500
Line,-4124,37089,-4124,35589,1500
Line,9406,37089,9406,35589,1500
Line,10101,37874,11101,37874,1000
Line,12096,40889,12096,41889,1000
Line,5956,37089,5956,35589,1500
Line,-1604,38659,-1604,40159,1500
Line,916,37089,916,35589,1500
Line,3436,38659,3436,40159,1500
Line,-7487,58049,-7498,55514,2534
Line,-7487,60554,-7487,58049,2506
Line,57526,22929,57526,21429,1500
Line,-8269,50474,-7520,50474,749
Line,18381,45824,16036,45824,2345
Line,17781,39944,16036,39944,1745
Line,18381,39944,17781,39944,600
Line,55006,22929,55006,21429,1500
Line,-8269,50474,-9769,50474,1500
Line,-8269,55514,-9769,55514,1500
Line,-8269,60554,-9769,60554,1500
Line,44626,27619,44626,29119,1500
Line,54946,27619,54946,29119,1500
Line,49873,27619,49873,29119,1500
Line,44256,22672,44256,21172,1500
Line,10916,40889,10909,41889,1000
Line,54946,27619,54946,25274,2345
Line,49873,27619,49873,25274,2345
Line,44626,27619,44626,25274,2345
Line,55006,22929,55006,25274,2345
Line,55006,25274,54946,25274,60
Line,57526,25274,55006,25274,2520
Line,57526,22929,57526,25274,2345
Line,44256,22672,44256,25274,2602
Line,-4124,37874,-6589,37874,2465
Line,-1604,37874,-4124,37874,2520
Line,916,37874,-1604,37874,2520
Line,9316,42859,9316,40914,1945
Line,9316,40004,9316,37874,2130
Line,9316,40914,9316,40004,910
Line,10101,40004,9316,40004,785
Line,18381,39944,19881,39944,1500
Line,17781,37874,17781,36374,1500
Line,18381,31964,19881,31964,1500
Line,18381,45824,19881,45824,1500
Line,8531,40914,7031,40914,1500
Line,12646,52899,12646,54399,1500
Line,18381,50084,19881,50084,1500
Line,29391,30089,29391,31089,1000
Line,44626,25274,44256,25274,370
Line,49873,25274,44626,25274,5248
Line,54946,25274,49873,25274,5072
Line,35024,25274,44256,25274,9232
Line,30711,30089,30711,31089,1000
Line,33016,30089,33016,31089,1000
Line,24466,27619,24466,29119,1500
