Name,Position X,Position Y,Hyperlink
Point,17781,36374,0.1.23,Workshop
Point,19881,39944,0.1.24,Group room
Point,24466,29119,0.1.21,Group room
Point,19881,31964,0.1.22,Group room
Point,19881,45824,0.1.26,Group room
Point,5956,55749,1.1.50,Office
Point,916,55749,1.1.48,Office
Point,19881,50084,0.1.28,Usability laboratory
Point,12646,54399,1.1.21,Printer room
Point,29391,31089,0.1.20,Toilet
Point,44626,29119,0.1.15,Office
Point,55006,21429,0.1.91,Office
Point,33971,21254,0.1.95,Home
Point,44256,21172,0.1.92,Meeting room
Point,49873,29119,0.1.49,Lecture room
Point,33016,31089,0.1.18,Handicap toilet
Point,30711,31089,0.1.19,Toilet
Point,54946,29119,0.1.48,Kitchen
Point,57526,21429,0.1.90,Depot
Point,-4124,55749,1.1.46,Office
Point,-1604,40159,1.1.59,Group room
Point,3436,40159,1.1.57,Group room
Point,-4124,35589,1.1.38,Group room
Point,-6589,37874,-1,Exit
Point,9406,60319,1.1.16,Office
Point,-4124,60319,1.1.10,Laboratory
Point,-9769,60554,1.1.05,Group room
Point,5956,60319,1.1.14,Company office
Point,916,60319,1.1.12,Laboratory
Point,916,35589,1.1.36,Group room
Point,-7514,48009,-1,Exit
Point,7031,40914,1.1.56,Kitchen
Point,-9769,55514,1.1.03,Group room
Point,-9769,50474,1.1.05,Group room
Point,10909,41889,1.1.27,Toilet
Point,9406,35589,1.1.32,Group room
Point,5956,35589,1.1.34,Group room
Point,12096,41889,1.1.26,Toilet
Point,11101,37874,1.1.29,Cleaning cupboard
